City;Materials;Installation;Composite
Atlanta (Georgia);98.7;76.7;89.2
Baltimore (Maryland);102.3;83.1;94
Boston (Massachusetts);100.2;132.9;114.3
Buffalo (New York);100.9;109.8;104.8
Chicago (Illinois);100.5;144.4;119.5
Cincinnati (Ohio);98;79.2;89.9
Cleveland (Ohio);99.4;91.5;96
Columbus (Ohio);99.2;83.2;92.3
Dallas (Texas);100.1;67.4;86
Denver (Colorado);104;75.1;91.5
Detroit (Michigan);99.5;100.9;100.1
Houston (Texas);101.3;67.3;86.6
Indianapolis (Indiana);99.5;82.9;92.3
Kansas City (Missouri);97.5;101.8;99.3
Los Angeles (California);98.4;129.3;111.8
Memphis (Tennessee);96.5;72.5;86.1
Miami (Florida);96.2;70.4;85.1
Milwaukee (Wisconsin);97.9;111.7;103.9
Minneapolis (Minnesota);99.7;116.6;107
Nashville (Tennessee);100;74.5;89
New York (New York);100.3;174.2;132.2
Philadelphia (Pennsylvania);99.7;136.9;115.8
Phoenix (Arizona);98.4;72.1;87
Pittsburgh (Pennsylvania);99.3;102.6;100.7
San Antonio (Texas);98.9;63.8;83.7
San Diego (California);100.3;121.3;109.4
San Francisco (California);107.6;159;129.8
Seattle (Washington);105.4;108.4;106.7
St. Louis (Missouri);97.5;104.6;100.6
Washington, D.C. (District of Columbia);101.3;88;95.5
