,Unnamed: 0,City,State,County,Materials_Cost,Installation_Cost,Composite_Cost,Total_Construction_Cost_Index,Cnt_CoastalStorm,Cnt_DamBreak,Cnt_Drought,Cnt_Earthquake,Cnt_Fire,Cnt_FishingLosses,Cnt_Flood,Cnt_Freezing,Cnt_HumanCause,Cnt_Hurricane,Cnt_MudLandslide,Cnt_Other,Cnt_SevereIce,Cnt_SevereStorms,Cnt_Snow,Cnt_Terrorist,Cnt_Tornado,Cnt_Toxic,Cnt_Tsunami,Cnt_Typhoon,Cnt_Volcano,Cnt_All_Incidents,cents_per_kwh,Mean_Temp_F,LATITUDE_X,LONGITUDE_Y,COORDINATES,"Dist_KM_to_Los Angeles, CA","Dist_KM_to_Phoenix, AZ","Dist_KM_to_Houston, TX","Dist_KM_to_Chicago, IL","Dist_KM_to_New York City, NY",EXTREME_WEATH_EVENTS_YEARLY
0,0,Phoenix,Arizona,Maricopa,98.4,72.1,87.0,257.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.29,73.92684642438444,33.448436699999995,-112.07414170000001,"(33.4484367, -112.0741417)",575.3824141733805,0.0,1635.2565692287292,2340.6635250058266,3450.9484494550434,0.26
1,1,Los Angeles,California,Los Angeles,98.4,129.3,111.8,339.5,1.0,0.0,0.0,3.0,8.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,17.18,62.11981242672922,34.0536909,-118.24276599999999,"(34.0536909, -118.242766)",0.0,575.3824141733805,2210.480447079753,2809.7928819806652,3944.275348972268,0.52
2,2,San Diego,California,San Diego,100.3,121.3,109.4,331.0,1.0,0.0,0.0,0.0,5.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17.18,63.88135990621333,32.7174202,-117.16277279999998,"(32.7174202, -117.1627728)",179.0589265829951,481.9182535361445,2098.2405540056743,2792.055377001697,3915.398073514145,0.42
3,3,San Francisco,California,San Francisco,107.6,159.0,129.8,396.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.18,57.482297772567385,37.779026200000004,-122.41990600000001,"(37.7790262, -122.419906)",559.3369112588764,1052.4257055023095,2647.742303000506,2992.4295245175067,4139.030509008028,0.08
4,4,Denver,Colorado,Denver,104.0,75.1,91.5,270.6,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,8.34,48.87561547479482,39.7392364,-104.98486229999999,"(39.7392364, -104.9848623)",1337.608772491308,942.6026317614012,1412.772001716098,1481.3081827017688,2625.182537633708,0.08
5,5,Miami,Florida,Miami-Dade,96.2,70.4,85.1,251.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,8.11,76.74525205158257,25.7741728,-80.19362,"(25.7741728, -80.19362)",3764.185821585383,3188.962029693833,1558.1288299235764,1911.921733342488,1753.0763004217727,0.36
6,6,Atlanta,Georgia,Fulton,98.7,76.7,89.2,264.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,7.24,62.781477139507686,33.7489924,-84.3902644,"(33.7489924, -84.3902644)",3116.7441600035963,2561.9694752182018,1129.4213236913547,945.6790244649948,1201.1574660089625,0.18
7,7,Chicago,Illinois,Cook,100.5,144.4,119.5,364.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,7.51,49.84819277108439,41.875561600000005,-87.6244212,"(41.8755616, -87.6244212)",2809.7928819806652,2340.663525005827,1514.002429671554,0.0,1146.7355698405568,0.3
8,8,Indianapolis,Indiana,Marion,99.5,82.9,92.3,274.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.64,52.861430246189954,39.7683331,-86.1583502,"(39.7683331, -86.1583502)",2912.1548784525617,2412.5121234944017,1392.4555799664706,264.6710481001224,1038.5445437875442,0.2
9,9,Baltimore,Maryland,Baltimore City,102.3,83.1,94.0,279.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.72,54.87116060961319,39.2908816,-76.610759,"(39.2908816, -76.610759)",3733.439772654481,3226.3793199441234,2014.608894458933,974.7987347924795,272.7360589255921,0.26
10,10,Boston,Massachusetts,Suffolk,100.2,132.9,114.3,347.4,2.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,15.68,50.89085580304803,42.3602534,-71.0582912,"(42.3602534, -71.0582912)",4178.661563251043,3701.465145841609,2583.8867871714224,1368.8695283990642,306.5470647507601,0.38
11,11,Detroit,Michigan,Wayne,99.5,100.9,100.1,300.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.85,49.73766756032165,42.331550899999996,-83.04664029999999,"(42.3315509, -83.0466403)",3191.691751387193,2720.588207116341,1778.8860484133866,381.9811596277595,775.3066655459766,0.16
12,12,Kansas City,Missouri,Jackson,97.5,101.8,99.3,298.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,7.93,54.55206896551724,39.100105,-94.5781416,"(39.100105, -94.5781416)",2183.835123300264,1688.947972478913,1038.7504153133864,664.9567606262619,1764.14243873435,0.32
13,13,St. Louis,Missouri,St Louis,97.5,104.6,100.6,302.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,56.40586166471277,38.6529545,-90.24111656024635,"(38.6529545, -90.24111656024635)",2554.226740630033,2044.6159272490186,1093.3722948280026,421.36371573173835,1409.311175444036,0.0
14,14,Buffalo,New York,Erie,100.9,109.8,104.8,315.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.35,47.44361078546303,42.8867166,-78.87839220000001,"(42.8867166, -78.8783922)",3537.056433142073,3068.094317477345,2069.7444037611717,728.6333280928337,471.3523414241188,0.2
15,15,New York,New York,New York,100.3,174.2,132.2,406.7,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.35,54.22157092614298,40.7127281,-74.0060152,"(40.7127281, -74.0060152)",3944.275348972268,3450.9484494550434,2283.473189081701,1146.735569840557,0.0,0.22
